cost_bucket_id,cost_bucket,cost_type,evidence_type,low_cents_per_bar,base_cents_per_bar,high_cents_per_bar,confidence_level,source_evidence_count,notes,cost_logic
COST_ING_SUGAR,Sugar,ingredient,assumption_supported_by_evidence,1.6204,2.9101,4.5856,medium,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,"Estimated sugar grams are anchored to the 43 g bar and expected sugar-heavy chocolate formulation. Price is a refined-sugar benchmark proxy, not Hershey invoice cost."
COST_ING_COCOA_CHOCOLATE,Chocolate / Cocoa,ingredient,assumption_supported_by_evidence,2.6455,6.0627,12.3459,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,"Cocoa/chocolate mass allocation is estimated because Hershey does not disclose the exact bill of materials. Benchmark price represents cocoa/chocolate ingredient proxy, not actual contract price."
COST_ING_COCOA_BUTTER,Cocoa Butter,ingredient,assumption_supported_by_evidence,3.6376,8.4327,16.5347,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,Cocoa butter is modeled separately from cocoa/chocolate because it is a distinct ingredient stream. Weight and price are benchmark assumptions.
COST_ING_MILK,Milk / Dairy Solids,ingredient,assumption_supported_by_evidence,0.485,1.0582,1.9401,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,Milk is modeled as a dairy solids input rather than liquid milk weight. Price is a dairy product benchmark proxy.
COST_ING_SKIM_MILK,Skim Milk / Nonfat Solids,ingredient,assumption_supported_by_evidence,0.2205,0.5952,1.1905,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,Skim milk is proxied with nonfat dry milk / dairy solids pricing. Exact ingredient form and quantity are not publicly disclosed.
COST_ING_MILK_FAT,Milk Fat / Butterfat,ingredient,assumption_supported_by_evidence,0.7275,1.6535,3.2408,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,"Milk fat is proxied using butterfat/butter-related dairy benchmarks. Exact milk fat quantity is modeled, not disclosed."
COST_ING_SOY_LECITHIN,Soy Lecithin,ingredient,assumption_supported_by_evidence,0.0265,0.0827,0.2646,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,Soy lecithin is used at very small emulsifier rates. Supplier is unknown and price is a specialty ingredient proxy.
COST_ING_PGPR,PGPR,ingredient,assumption_supported_by_evidence,0.0265,0.0926,0.3175,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,PGPR is modeled as a tiny specialty emulsifier/flow-modifier input. Supplier is unknown and price is a specialty ingredient proxy.
COST_ING_NATURAL_FLAVOR,Natural Flavor,ingredient,assumption_supported_by_evidence,0.0176,0.119,0.6173,low,12,Calculated from modeled grams per 43 g bar and benchmark price per lb. Not Hershey actual cost.,Natural flavor is modeled as a very small flavor input. Exact composition and supplier are unknown.
COST_PACKAGING_PRIMARY_SECONDARY,Packaging / Wrapper / Secondary Packaging,packaging,assumption_supported_by_evidence,1.5,2.8,5.0,low,15,Allocation estimate. Not Hershey actual SKU-level cost.,Packaging includes primary wrapper plus allocated paperboard/case packaging. Exact wrapper supplier and exact SKU packaging cost are not public.
COST_MANUFACTURING_CONVERSION,Manufacturing Conversion,manufacturing_conversion,assumption_supported_by_evidence,3.0,6.0,10.0,low,2,Allocation estimate. Not Hershey actual SKU-level cost.,"Manufacturing conversion includes labor, utilities, overhead, maintenance, depreciation, and plant operations allocation. This is a modeled public-information allocation, not Hershey internal SKU accounting."
COST_STORAGE_WAREHOUSING,Storage / Warehousing,storage,assumption_supported_by_evidence,0.3,0.8,1.5,low,7,Allocation estimate. Not Hershey actual SKU-level cost.,Storage and warehousing are allocated using public logistics/warehousing benchmark context. Exact SKU storage cost is not public.
COST_OUTBOUND_FREIGHT,Outbound Freight / Trucking,freight,assumption_supported_by_evidence,0.5,1.2,2.5,low,7,Allocation estimate. Not Hershey actual SKU-level cost.,Freight is allocated using trucking/diesel/logistics benchmark context. Exact route cost for the 1.55 oz SKU is not public.
COST_RETAIL_PRICE_VISUAL_VERIFICATION_PENDING,Observed Retail Shelf Price,retail_price,direct_but_visual_verification_pending,,,,unknown,4,Pending visual verification of retailer price pages.,"Retail price pages were collected, but exact shelf prices are not entered into the cost model until final visual verification. This prevents using screenshot/PDF prices incorrectly."
