record_type,id,label,packet,priority_or_status,claim_strength,safe_scope,claim_roles,entities,ingredients,summary
document_profile,DOC_01971A613130,WPU09150336.csv,logistics_distribution,low,,,general_context,,,chunks=1 text=472
document_profile,DOC_02F4A4A84A57,asr_refined_sugar_process_or_products.pdf,sugar,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; sustainability_context,asr,,chunks=4 text=6455
document_profile,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,icco; target; usda,cocoa_chocolate; natural_flavor,chunks=25 text=51366
document_profile,DOC_050BBCAC6B3F,mclane_company_profile.pdf,logistics_distribution,medium,,,general_context; logistics_distribution; retail_price; supplier_relationship,mclane; walgreens,,chunks=3 text=3483
document_profile,DOC_08137C490006,ice_cocoa_futures_optional_screenshot.pdf,cocoa_chocolate_cocoa_butter,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; retail_price; sustainability_context,,cocoa_chocolate; sugar,chunks=3 text=3733
document_profile,DOC_0C6FF4D0AACE,mclane_grocery_retail_distribution_page.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; retail_price; supplier_relationship,mclane,,chunks=3 text=2747
document_profile,DOC_0D21678E3116,cvs_hershey_1_55oz_price_page.pdf,retail_price_evidence,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; retail_price,cvs; hershey,cocoa_chocolate; milk_dairy,chunks=2 text=979
document_profile,DOC_0DD09547ACD4,natural_flavor_extraction_distillation_fermentation_explanation.pdf,natural_flavor,high,,,general_context; ingredient_confirmation; manufacturing_or_process,fda; usda,cocoa_chocolate; milk_dairy; natural_flavor,chunks=3 text=3056
document_profile,DOC_0E5990AC3AEF,asr_belize_sugar_industries_page.pdf,sugar,medium,,,general_context; ingredient_confirmation; sustainability_context,asr,sugar,chunks=2 text=2160
document_profile,DOC_101588EC345D,fda_pgpr_gras_response_letter.pdf,pgpr,medium_high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process,fda,cocoa_chocolate; pgpr,chunks=5 text=10486
document_profile,DOC_1082CA3E3F2A,barry_callebaut_hershey_supply_agreement_news_release.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,barry_callebaut; hershey,cocoa_chocolate; milk_dairy; natural_flavor; sugar,chunks=4 text=8109
document_profile,DOC_1164AEC6C38C,natural_flavor_function_in_food_explanation.pdf,natural_flavor,high,,,general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,fda,cocoa_chocolate; milk_dairy; natural_flavor; sugar,chunks=4 text=4991
document_profile,DOC_11A00D6495C0,PCU49314931.xlsx,logistics_distribution,medium_high,,,cost_or_price_benchmark; logistics_distribution; retail_price,,,chunks=1 text=1130
document_profile,DOC_12314C1C49CF,interim_gras_33_apr_2026.pdf,natural_flavor,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process,fda,milk_dairy; natural_flavor; sugar,chunks=7 text=12599
document_profile,DOC_1BE15D0DAB2F,castor_oil_ricinoleic_acid_pgpr_origin_reference.pdf,pgpr,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship,,natural_flavor; packaging; soy_lecithin; sugar,chunks=13 text=25099
document_profile,DOC_1D4C129E0BD4,fda_flavor_labeling_regulation_reference.pdf,natural_flavor,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,eia; fda; usda,cocoa_chocolate; milk_dairy; natural_flavor; packaging; sugar,chunks=203 text=401159
document_profile,DOC_1E0944AC1DC5,asr_hershey_learn_to_grow_belize.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,asr; hershey,sugar,chunks=3 text=3412
document_profile,DOC_1E80FF9B816E,icco_processing_cocoa_page.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price,icco; target,cocoa_chocolate; milk_dairy; packaging; sugar,chunks=5 text=8593
document_profile,DOC_1EB5146FBACE,bls_truck_transportation_ppi_benchmark.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; retail_price,,,chunks=2 text=897
document_profile,DOC_1EC92FF65460,barry_callebaut_company_profile.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; supplier_relationship; sustainability_context,barry_callebaut,cocoa_chocolate; milk_dairy; natural_flavor,chunks=4 text=5470
document_profile,DOC_1ED749BEB0B8,pulp-and-paper-sourcing-policy.pdf,packaging_wrapper,high,,,cost_or_price_benchmark; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,packaging,chunks=4 text=8145
document_profile,DOC_1F6D46FB75CC,walmart_hershey_1_55oz_price_page.pdf,retail_price_evidence,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; retail_price,hershey; walmart,cocoa_chocolate; milk_dairy,chunks=4 text=5108
document_profile,DOC_23BD14F34CEF,pgpr_market_price_reference.pdf,pgpr,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship,,cocoa_chocolate; pgpr,chunks=2 text=1368
document_profile,DOC_257C2CABB7C1,Group3-Tables-US-Sugar-Crop-Production-and-Sugar-Production-Deliveries-and-Stocks.csv,sugar,medium,,,ingredient_confirmation; manufacturing_or_process,,sugar,chunks=4 text=8425
document_profile,DOC_26064332B82F,hershey_pulp_paper_page.pdf,packaging_wrapper,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,cocoa_chocolate; packaging,chunks=3 text=3559
document_profile,DOC_260B1720A1EF,hershey_cocoa_sustainability_page.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; supplier_relationship; sustainability_context,hershey,cocoa_chocolate,chunks=4 text=5462
document_profile,DOC_2D8BE31DFAC8,icco_cocoa_butter_powder_faq.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,icco,cocoa_chocolate,chunks=4 text=6648
document_profile,DOC_2F8EE4491545,land_o_lakes_who_we_are_page.pdf,dairy_milk_skim_milk_milk_fat,high,,,general_context; retail_price; supplier_relationship; sustainability_context,land_olakes,milk_dairy,chunks=3 text=3625
document_profile,DOC_2FB8D1A92FFF,soy_lecithin_function_in_chocolate_explanation.pdf,soy_lecithin,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,fda; usda,cocoa_chocolate; milk_dairy; natural_flavor; soy_lecithin,chunks=11 text=20480
document_profile,DOC_32FA1CD834CD,sugar_cane_beet_processing_explanation.pdf,sugar,high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship,usda,milk_dairy; sugar,chunks=27 text=55722
document_profile,DOC_35AC43ECE38F,Hershey back.webp,product_sku_1_55oz,medium,,,ingredient_confirmation,hershey,sugar,chunks=1 text=420
document_profile,DOC_381414594006,Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,hershey_company,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,cocoa_chocolate; packaging,chunks=3 text=3559
document_profile,DOC_399D89EF9892,natural_flavor_market_overview_reference.pdf,natural_flavor,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,,milk_dairy; natural_flavor; sugar,chunks=11 text=20898
document_profile,DOC_3A67DADA572A,barry_callebaut_annual_report_or_full_year_results_2024_25.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,barry_callebaut; cvs; hershey; target,cocoa_chocolate; milk_dairy; packaging; sugar,chunks=229 text=472668
document_profile,DOC_3C5045700A98,land_o_lakes_hershey_chesapeake_bay_page.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,hershey; land_olakes,milk_dairy,chunks=5 text=8129
document_profile,DOC_3DACF0FBC836,hershey_latest_esg_dairy_section.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,asr; barry_callebaut; hershey; land_olakes; target; usda,cocoa_chocolate; milk_dairy; packaging; sugar,chunks=141 text=286123
document_profile,DOC_3FF97ACFA90D,hershey_dairy_sourcing_page.pdf,dairy_milk_skim_milk_milk_fat,high,,,general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,hershey; land_olakes; target,cocoa_chocolate; milk_dairy,chunks=4 text=6402
document_profile,DOC_400268FDC92A,nonfat_dry_milk_skim_milk_explanation.pdf,dairy_milk_skim_milk_milk_fat,high,,,general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,,cocoa_chocolate; milk_dairy; natural_flavor; packaging,chunks=4 text=5640
document_profile,DOC_41FA1AC07EDD,retail_wholesale_distribution_explanation.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,,,chunks=13 text=24975
document_profile,DOC_444A249CB5CF,barry_callebaut_social_environmental_impact_report_2024_25.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,barry_callebaut; target,cocoa_chocolate; milk_dairy; natural_flavor; packaging; soy_lecithin; sugar,chunks=156 text=317914
document_profile,DOC_463FD3B8EDC9,Hershey Front.webp,product_sku_1_55oz,medium,,,ingredient_confirmation,hershey,cocoa_chocolate; milk_dairy,chunks=1 text=78
document_profile,DOC_4798F11F2524,Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,cocoa_chocolate,chunks=10 text=17970
document_profile,DOC_4D6583498B7A,target_hershey_1_55oz_price_page.pdf,retail_price_evidence,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; retail_price,hershey; target,cocoa_chocolate; milk_dairy; natural_flavor; pgpr; soy_lecithin; sugar,chunks=2 text=1507
document_profile,DOC_4ED7D04B1CB5,pswrgvwall.xls,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; retail_price,,,chunks=38 text=78522
