evidence_id,doc_id,source_file,packet,category,audit_status,audit_reason,corrected_evidence_type,corrected_relationship_strength,claim_scope,corrected_related_company,corrected_related_ingredient,related_cost_bucket,display_allowed,display_priority,human_review_required,supports_node,supports_edge,supports_cost_bucket,supports_supplier_packet,supports_ingredient_packet,supports_display_blob,claim,safe_website_wording
EV_LOGISTICS_DISTRIBUTION_0001_001,DOC_01971A613130,WPU09150336.csv,logistics_distribution,logistics,needs_review,Weak extraction; retained for review but not display.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,,,False,0,True,True,False,False,False,False,False,Source document available for packet: logistics_distribution.,"WPU09150336.csv can support benchmark, process, regulatory, or market context for logistics_distribution. It does not represent Hershey's exact SKU-level invoice cost."
EV_SUGAR_0002_001,DOC_02F4A4A84A57,asr_refined_sugar_process_or_products.pdf,sugar,ingredient,needs_review,Weak extraction; retained for review but not display.,direct,company_level_confirmed,company_level,American Sugar Refining / ASR,Sugar,,False,0,True,True,False,False,False,True,False,Source document available for packet: sugar.,ASR is supported as a Hershey company-level sugar sourcing partner. Exact 1.55 oz SKU sugar allocation is not publicly confirmed.
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_001,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,ingredient,needs_review,Weak extraction; retained for review but not display.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,,False,0,True,True,False,False,False,True,False,Source document available for packet: cocoa_chocolate_cocoa_butter.,"usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_301,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,rejected,"Rejected because the cost signal is generic, weak, too short, or not useful for cost modeling.",benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,False,0,False,False,False,False,False,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context.","Rejected from display because this evidence is too generic, weak, or not useful for the current supply-chain model."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_302,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_303,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_304,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_305,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,rejected,"Rejected because the cost signal is generic, weak, too short, or not useful for cost modeling.",benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,False,0,False,False,False,False,False,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context.","Rejected from display because this evidence is too generic, weak, or not useful for the current supply-chain model."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_306,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,rejected,"Rejected because the cost signal is generic, weak, too short, or not useful for cost modeling.",benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,False,0,False,False,False,False,False,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context.","Rejected from display because this evidence is too generic, weak, or not useful for the current supply-chain model."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_307,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_308,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_309,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_310,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_311,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,approved,Approved strictly as benchmark/cost context only.,benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,cocoa_chocolate_cocoa_butter,True,70,False,False,False,True,False,True,True,"Source contains cost, price, market, benchmark, or index language for cost bucket: cocoa_chocolate_cocoa_butter.","usda_fas_ghana_cocoa_sector_overview_2025.pdf can support benchmark, process, regulatory, or market context for Cocoa / Chocolate / Cocoa Butter. It does not represent Hershey's exact SKU-level invoice cost."
EV_COCOA_CHOCOLATE_COCOA_BUTTER_0003_312,DOC_033AA20F1EE1,usda_fas_ghana_cocoa_sector_overview_2025.pdf,cocoa_chocolate_cocoa_butter,cost,rejected,"Rejected because the cost signal is generic, weak, too short, or not useful for cost modeling.",benchmark_proxy,benchmark_only,market_level,The Hershey Company,Cocoa / Chocolate / Cocoa Butter,general_cost_or_market_context,False,0,False,False,False,False,False,False,False,"Source contains cost, price, market, benchmark, or index language for cost bucket: general_cost_or_market_context.","Rejected from display because this evidence is too generic, weak, or not useful for the current supply-chain model."
