doc_id,file_name,relative_path,absolute_path,packet,source_category,document_type,evidence_role,file_extension,file_size_bytes,sha256,supported_by_parser,parser_status,notes
DOC_CA4CD5A61616,hershey_2025_10k_full.pdf,00_hershey_company/annual_reports/hershey_2025_10k_full.pdf,D:/HersheySupplyChainAI/data/raw_sources/00_hershey_company/annual_reports/hershey_2025_10k_full.pdf,hershey_company,hershey_company,pdf_document,direct_company_evidence,.pdf,63645481,25e30bcd8b037483132479f9cc17359572eb70a2808ca72721429bf3aa74eb17,True,pending,
DOC_920988DD536E,Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,00_hershey_company/other_ingredient_pages/Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,D:/HersheySupplyChainAI/data/raw_sources/00_hershey_company/other_ingredient_pages/Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,hershey_company,pdf_document,direct_company_evidence,.pdf,2980467,4432549426494a11709f3ffe2be0d8411f93a769b432c0dab2e411395a7d2cdc,True,pending,
DOC_4798F11F2524,Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,00_hershey_company/other_ingredient_pages/Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,D:/HersheySupplyChainAI/data/raw_sources/00_hershey_company/other_ingredient_pages/Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,hershey_company,pdf_document,direct_company_evidence,.pdf,6586846,eb0c60ce069f684f378c433fc2d17cef41eaf6e11247d6654a3e92c6a5a1ea3e,True,pending,
DOC_381414594006,Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,00_hershey_company/other_ingredient_pages/Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,D:/HersheySupplyChainAI/data/raw_sources/00_hershey_company/other_ingredient_pages/Pulp-Paper-The-Hershey-Company-05-06-2026_02_23_PM.pdf,hershey_company,hershey_company,pdf_document,direct_company_evidence,.pdf,1810219,81a0cefd57e82b29ed759e20fb956aa7625af05b102ed60c997df9135e72e9f7,True,pending,
DOC_6152C93503AC,hershey_responsible_sourcing_cocoa_page.pdf,00_hershey_company/responsible_sourcing/hershey_responsible_sourcing_cocoa_page.pdf,D:/HersheySupplyChainAI/data/raw_sources/00_hershey_company/responsible_sourcing/hershey_responsible_sourcing_cocoa_page.pdf,hershey_company,hershey_company,pdf_document,direct_company_evidence,.pdf,4813453,d1178ec6bba0db4f0959b87c96052edd51d88fe08ea5c5b1be2262b60be07dad,True,pending,
DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,00_hershey_company/sustainability_reports/hershey_latest_esg_sugar_section.pdf,D:/HersheySupplyChainAI/data/raw_sources/00_hershey_company/sustainability_reports/hershey_latest_esg_sugar_section.pdf,hershey_company,hershey_company,pdf_document,direct_company_evidence,.pdf,26994042,9bb27a3f0f703d0218d184ae5dd881e53cd6f14034f7328943ff6d033f190587,True,pending,
DOC_BF1CF5E24E2A,034000002405_3.png,01_product_sku_1_55oz/nutrition_ingredients/034000002405_3.png,D:/HersheySupplyChainAI/data/raw_sources/01_product_sku_1_55oz/nutrition_ingredients/034000002405_3.png,product_sku_1_55oz,product_sku,image_or_logo,unknown,.png,259480,16846e9e1b1c1aef8059a107f0f1b1b2e6bdde7d426df87df6e1cad1027dc083,True,pending,
DOC_CF8C4A1F434C,hershey 1.55 oz page.pdf,01_product_sku_1_55oz/official_product_pages/hershey 1.55 oz page.pdf,D:/HersheySupplyChainAI/data/raw_sources/01_product_sku_1_55oz/official_product_pages/hershey 1.55 oz page.pdf,product_sku_1_55oz,product_sku,pdf_document,direct_company_evidence,.pdf,5154701,4dda77025308518f2d599e3feccdb1b736fb0b42be14a68abb4dd2e5ee43c2d0,True,pending,
DOC_D7D512504DFA,hershey unwrapped.png,01_product_sku_1_55oz/product_visuals/hershey unwrapped.png,D:/HersheySupplyChainAI/data/raw_sources/01_product_sku_1_55oz/product_visuals/hershey unwrapped.png,product_sku_1_55oz,product_sku,image_or_logo,direct_company_evidence,.png,665316,ce20a334255b65bcb26c792b6b86a3802b216edbd54b0f097bd77742bf83abef,True,pending,
DOC_35AC43ECE38F,Hershey back.webp,01_product_sku_1_55oz/wrapper_back/Hershey back.webp,D:/HersheySupplyChainAI/data/raw_sources/01_product_sku_1_55oz/wrapper_back/Hershey back.webp,product_sku_1_55oz,product_sku,image_or_logo,direct_company_evidence,.webp,27288,a19470d75e555483b57f5afe6f9af5f156bd8c90d49d5627eb5b79a0e0c94d97,True,pending,
