ingredient_id,ingredient_name,label_order_position,label_status,supplier_status,confirmed_supplier_names,confidence_level,evidence_count,estimated_cost_status,origin_logic
ING_SUGAR,Sugar,1,confirmed_by_label,company_level_confirmed,American Sugar Refining / ASR,medium,39,not_started,"Sugar is modeled as an upstream sweetener input. Hershey sugar sourcing evidence and ASR evidence support company-level sugar sourcing context, while exact SKU-level allocation remains unconfirmed."
ING_COCOA_CHOCOLATE,Chocolate / Cocoa,2,confirmed_by_label,company_level_confirmed,Barry Callebaut,medium,95,not_started,"Cocoa/chocolate is modeled as a major upstream cocoa stream. Barry Callebaut evidence supports company-level cocoa/chocolate relationship context, while exact SKU-level allocation remains unconfirmed."
ING_COCOA_BUTTER,Cocoa Butter,3,confirmed_by_label,company_level_confirmed,Barry Callebaut,medium,95,not_started,"Cocoa butter is modeled as part of the cocoa ingredient stream. Public evidence supports company-level cocoa/chocolate context, not exact SKU-level cocoa butter supplier allocation."
ING_MILK,Milk,4,confirmed_by_label,unknown,,medium,109,not_started,"Milk is modeled as a dairy input. Hershey/Land O'Lakes evidence supports company-level dairy relationship context, while exact SKU-level dairy allocation remains unconfirmed."
ING_SKIM_MILK,Skim Milk,5,confirmed_by_label,unknown,,medium,109,not_started,"Skim milk is modeled as part of the dairy solids stream. Supplier is treated as company-level dairy context, not SKU-level confirmation."
ING_MILK_FAT,Milk Fat,6,confirmed_by_label,unknown,,medium,109,not_started,"Milk fat is modeled as part of the dairy fat stream. Supplier evidence supports company-level dairy context, not exact SKU-level allocation."
ING_SOY_LECITHIN,Soy Lecithin,7,confirmed_by_label,unknown,,low,14,not_started,Soy lecithin is modeled as an emulsifier input. Supplier is not publicly confirmed for the 1.55 oz bar.
ING_PGPR,PGPR,8,confirmed_by_label,unknown,,low,54,not_started,PGPR is modeled as an emulsifier/flow-modifier input. Supplier is not publicly confirmed for the 1.55 oz bar.
ING_NATURAL_FLAVOR,Natural Flavor,9,confirmed_by_label,unknown,,low,19,not_started,Natural flavor is modeled as a flavor input. Exact composition and supplier are not publicly confirmed.
ING_PACKAGING_WRAPPER,Packaging / Wrapper,10,confirmed_by_label,unknown,,medium,45,not_started,"Packaging is modeled as a material input stream. Hershey packaging/pulp-paper evidence supports sourcing policy context, but exact wrapper supplier for the 1.55 oz bar is not publicly confirmed."
